Keyword,Intents,Category,KD,SV,GSV,TP,GTP,CPC,CPS,Parent Topic,SF
best dividend stocks,I,Bonds,20,43K,55K,64K,71K,$0.25,1.50,best dividend stocks,6
monthly dividend stocks,"I,C",Bonds,11,10K,12K,3.4K,3.5K,$1.20,1.32,best monthly dividend stocks,4
best dividend stocks 2024,"I,C",Bonds,19,9.6K,9.7K,43K,56K,$1.00,N/A,best dividend stocks 2025,5
best dividend stocks to buy and hold,"I,C",Bonds,10,3.7K,4.1K,69K,87K,$1.10,1.38,best dividend stocks,5
dividend check,I,Bonds,19,3.3K,3.4K,3.0K,3.0K,$0.70,0.50,trump stimulus checks,5
top 25 dividend stocks,"I,C",Bonds,17,3.1K,3.6K,97K,104K,$0.70,0.87,best dividend stocks,5
stocks that pay monthly dividends,I,Bonds,7,2.4K,2.7K,3.1K,3.1K,$0.50,1.20,stocks that pay dividends,6
stocks that pay dividends monthly,I,Bonds,23,2.3K,2.5K,3.9K,3.9K,$0.50,1.10,stocks that pay monthly dividends,7
best dividend stock,"I,C",Bonds,20,2.3K,3.0K,12K,24K,$0.25,1.33,best dividend stocks for beginners,6
weekly dividend stocks,I,Bonds,1,2.2K,2.6K,1.9K,2.0K,$1.40,N/A,weekly dividend stocks,4
stock split calendar,I,Bonds,16,2.0K,2.2K,10K,11K,$0.07,1.74,upcoming stock splits,2
recent dividend increases,I,Bonds,0,1.9K,2.1K,1.9K,2.1K,$1.40,N/A,recent dividend increases,2
stock dividend calculator,I,Bonds,9,1.7K,2.3K,34K,39K,$1.30,1.50,dividend calculator,2
best dividend stocks to buy now,"I,C,T",Bonds,14,1.6K,1.8K,50K,51K,$0.80,1.70,best dividend stocks,7
dividend stocks news,I,Bonds,30,1.1K,1.2K,37K,43K,$0.25,N/A,dividend,5
dividend increases,I,Bonds,12,1.1K,1.3K,1.3K,1.5K,$0.50,0.95,recent dividend increases,2
trackyourdividends,I Branded,Bonds,0,1.1K,1.5K,2.3K,2.9K,$1.50,N/A,trackyourdividends,6
